id,comune,categoria,nome,telefono,email,indirizzo,sito,fonte,stato,priorita,note
rivoli-amm-001,Rivoli,Amministratore condominio,Amministratore D'Iorio Antonio,+39 011 956 3342,,Via Capello 30 - 10098 Rivoli TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
rivoli-not-001,Rivoli,Notaio,Notaio Bonomo di Rivoli,+39 011 953 3897,,Via Napoleone Leumann 18 - 10098 Rivoli TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
rivoli-avv-001,Rivoli,Avvocato,Avvocato Tommaso Fumero,+39 348 878 4844,,Via E. Perotto 11 - 10098 Rivoli TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,Profilo pubblico indica anche diritto immobiliare
rivoli-edile-001,Rivoli,Impresa edile,INNOVAL - Impresa edile Rivoli,+39 338 475 7040,,Via Pasubio 66 - 10098 Rivoli TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
rivoli-edile-002,Rivoli,Impresa edile,Impresa Edile Carabetta,+39 011 953 0645,,Via Alpignano 86 - 10098 Rivoli TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
villardora-geo-001,Villar Dora,Geometra,Studio Tecnico Geometra Roberto Capecchi,+39 011 935 2570,,Via Almese 33B - 10040 Villar Dora TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
villardora-not-001,Villar Dora,Notaio,Marina Strippoli - Notaio Val di Susa,+39 011 454 6593,,Piazza San Rocco 3 - 10040 Villar Dora TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
villardora-edile-001,Villar Dora,Impresa edile,Impresa Edile del Santo Luca,+39 338 982 8051,,Via Borgionera 89/C - 10040 Villar Dora TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
caprie-avv-001,Caprie,Avvocato,Avvocato Monica Giola,+39 328 596 3291,,Via Braere 15 - 10040 Caprie TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
chiusa-geo-001,Chiusa di San Michele,Geometra,Studio Tecnico Geometra TONDA ROC Massimo,+39 011 1889 4440,,Via General Cantore 48 - 10050 Chiusa di San Michele TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
vaie-edile-001,Vaie,Impresa edile,Arcas Edilizia Torino,+39 377 450 7047,,Via I Maggio 5 - 10050 Vaie TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
santambrogio-edile-001,Sant'Ambrogio di Torino,Impresa edile,Multiservices Impresa di Servizi di Danilo Nunziante,,,Via Umberto I 80/A - 10057 Sant'Ambrogio di Torino TO,,Ricerca pubblica web 2026-08-16,DA_VERIFICARE,NORMALE,Telefono da integrare e verificare attivita edile
villarfocchiardo-edile-001,Villar Focchiardo,Impresa edile,Impresa edile Gattuso Francesco,+39 335 695 2540,,Via di Mezzo 6 - 10050 Villar Focchiardo TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
borgone-geo-001,Borgone Susa,Geometra,Geometra Studio tecnico Gisella Toro,+39 011 964 5032,,Via A. Abegg 2 - 10050 Borgone Susa TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
